HomeTeam,AwayTeam,Date,home_rest_days,away_rest_days,home_elo,away_elo,elo_diff,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_avg_goals,home_avg_goals_scored_5,home_avg_goals_conceded_5,home_avg_corners_5,home_avg_cards_5,home_avg_points_5,away_avg_goals_scored_5,away_avg_goals_conceded_5,away_avg_corners_5,away_avg_cards_5,away_avg_points_5,home_avg_goals_scored_10,home_avg_goals_conceded_10,home_avg_corners_10,home_avg_cards_10,home_avg_points_10,away_avg_goals_scored_10,away_avg_goals_conceded_10,away_avg_corners_10,away_avg_cards_10,away_avg_points_10,home_venue_avg_goals_5,home_venue_avg_corners_5,home_venue_avg_cards_5,home_venue_avg_points_5,away_venue_avg_goals_5,away_venue_avg_corners_5,away_venue_avg_cards_5,away_venue_avg_points_5,home_venue_avg_goals_10,home_venue_avg_corners_10,home_venue_avg_cards_10,home_venue_avg_points_10,away_venue_avg_goals_10,away_venue_avg_corners_10,away_venue_avg_cards_10,away_venue_avg_points_10,FTR,FTHG,FTAG,HC,AC,home_cards,away_cards
Leeds,Everton,2021-08-21,7,7,1490.0,1510.0,-20.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,0.0,3.0,1.0,6.0,2.0,3.0,1.0,5.0,4.0,2.0,0.0,3.0,1.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,2,2,8,5,2,4
Aston Villa,Newcastle,2021-08-21,7,6,1490.0,1490.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,0.0,2.0,4.0,7.0,1.0,0.0,2.0,3.0,4.0,1.0,0.0,2.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,2,0,3,4,3,4
Liverpool,Burnley,2021-08-21,7,7,1510.0,1490.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,1.0,3.0,1.0,2.0,7.0,2.0,0.0,3.0,0.0,11.0,1.0,3.0,1.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,2,0,8,4,0,0
Crystal Palace,Brentford,2021-08-21,7,8,1490.0,1510.0,-20.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,0,0,3,5,3,1
Southampton,Man United,2021-08-22,8,8,1490.0,1510.0,-20.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,5.0,1.0,5.0,1.0,3.0,1.0,3.0,8.0,0.0,0.0,5.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,1,1,7,7,2,3
Wolves,Tottenham,2021-08-22,8,7,1490.0,1510.0,-20.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,0,1,5,4,1,4
Arsenal,Chelsea,2021-08-22,9,8,1490.0,1510.0,-20.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,0,2,9,8,3,0
West Ham,Leicester,2021-08-23,8,9,1510.0,1510.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,3.0,1.0,0.0,5.0,1.0,3.0,4.0,2.0,6.0,0.0,3.0,1.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H,4,1,10,0,0,2
Norwich,Leicester,2021-08-28,7,5,1480.0,1500.0,-20.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.5,0.0,1.0,2.0,2.5,1.5,1.5,0.0,4.0,2.0,0.5,0.0,1.0,2.0,2.5,1.5,1.5,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,A,1,2,9,9,2,1
West Ham,Crystal Palace,2021-08-28,5,7,1520.0,1490.5750112778453,29.424988722154694,0.0,0.0,0.0,0.0,4.0,1.5,8.0,0.0,3.0,0.0,1.5,2.5,1.5,0.5,4.0,1.5,8.0,0.0,3.0,0.0,1.5,2.5,1.5,0.5,4.0,10.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,10.0,0.0,3.0,0.0,2.0,0.0,0.0,D,2,2,5,3,1,0
